"year","Nsamples","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Country","am"
1982,170,0,0.32050194597909,0.0352079723214793,0.00485833868545521,0.273465645722961,0.0152582646027188,0.0368038142153823,0.0389415524696591,0.11763944099839,0.0326845680187986,0.036111930395675,0.0764541586148287,0.00241447359511228,0.00301809199389035,0.00663980238655876,"USA",5.66761836651368
1983,117,0,0,0.341442341442342,0.03996503996504,0.0182450182450183,0.234579234579235,0.0512600512600513,0.0564730564730565,0.052997052997053,0.0938310938310939,0.0390960390960391,0.0312770312770313,0.0225890225890226,0.0112950112950113,0.00695000695000695,"USA",6.27019527019527
1984,123,0,0,0.013930443350883,0.619041234438045,0.0362465909576975,0.0384927123964712,0.167782226311451,0.0285269001785219,0.0150882863222611,0.0123861176388565,0.0334159072883957,0.00922840110811335,0.00586005208105033,0.0143866574624165,0.00561447046583667,"USA",5.43261876785414
1985,56,0.00937472605532543,0.0010415660892389,0.00312469826771671,0.0695075635082592,0.674338287764087,0.0846588371657982,0.0551136483619513,0.0690340833228641,0.0198861545038459,0.00520846169836982,0.00662884108406521,0.00208313217847781,0,0,0,"USA",5.44554971958655
1986,120,0,0.153442196344321,0.0538538576316103,0.00526611602048173,0.0076107145850006,0.436339341146452,0.068970170230709,0.0815326451667662,0.082600293222877,0.0218880133934834,0.0281689850232013,0.0183362529225804,0.0313361328998082,0.00456661608013912,0.00608866533256986,"USA",6.33546137849312
1987,56,0,0,0.295828723822744,0.0290439062499686,0.00134725367325636,0.0101302788694029,0.532601022708617,0.00404143770475271,0.0125017342727696,0.0709125987158528,0,0.00743609483790652,0.0185905754374198,0.0175663737073094,0,"USA",6.23019984490627
1988,81,0,0.00863881607353327,0,0.381227900695864,0.0104654050072031,0.0149588931234285,0.00130474403234,0.394967518318002,0.00979930661679153,0.00518928131799846,0.112105680796154,0.00863881607353327,0,0,0.0527036379451524,"USA",7.12061239702599
1989,77,0,0.0729449270550729,0.0315729684270316,0.00326599673400327,0.501360498639501,0.0163309836690163,0.00326599673400327,0.00108899891100109,0.321175678824321,0.0234079765920234,0.00108899891100109,0.0234079765920234,0.00108899891100109,0,0,"USA",6.32172767827232
1990,158,0,0.0708306016804895,0.24334530449071,0.0137138245410503,0.00807660939506437,0.25692028447075,0.00365524621882406,0.00272425612346406,0.000579479821494201,0.312601736122633,0.00170143015748381,0.000909716638159852,0.0737515845370726,0,0.011189925802805,"USA",6.84332243835065
1991,142,0,0.0434331999662703,0.2552689017682,0.23514717796813,0.026188959553379,0.00892203078374514,0.219696229674254,0.0138905579196323,0.00182378701968418,0.00215471928989525,0.137781909849436,0.00490296994411837,0,0.0417770419855923,0.00901251427766283,"USA",5.95920109636842
